transaction_id,account_id,customer_id,timestamp,amount,currency,transaction_type,origin_country,destination_country,channel,memo
TXN0003498,ACC0000116,CUST0000116,10-01-2026 01:01:24,761.49,USD,cash_deposit,DE,DE,mobile,misc
TXN0010239,ACC0000346,CUST0000346,2026-01-22 00:51:20,$211.05,USD,transfer,IE,IE,atm,payment
TXN0011088,ACC0000373,,2026-01-26 05:49:57,961.95,USD,wire,UK,US,online,payment
TXN0011054,ACC0000372,CUST0000372,02/02/2026 16:51,81.86,USD,card,CA,CA,branch,transfer
TXN0002441,ACC0000084,CUST0000084,2026-01-26T13:42:03,639.78,USD,cash_withdrawal,UK,UK,mobile,transfer
TXN0008754,ACC0000297,CUST0000297,02/08/2026 17:04,53.39,USD,card,UK,UK,atm,n/a
TXN0007301,ACC0000249,CUST0000249,01/24/2026 17:30,308.14,USD,cash_deposit,FR,FR,atm,
TXN0006526,ACC0000221,CUST0000221,27-01-2026 14:32:25,143.73,USD,card, SG,SG,mobile,  payment  
TXN0004726,ACC0000158,CUST0000158,2026-01-18T06:50:07,723.75,USD,cash_deposit,CA,CA,branch,invoice pmt
TXN0006759,ACC0000229,CUST0000229,2026-01-02T14:23:29,160.21,USD,ach,US,US,phone,payment
TXN0002402,ACC0000083,CUST0000083,2026-01-06 16:37:46,321.76,USD,card,UK,UK,branch,transfer
TXN0001360,ACC0000045,CUST0000045,2026-02-02T06:30:45,376.42,USD,card,FR,FR,atm,payment
TXN0011718,ACC0000393,CUST0000393,02/01/2026 04:08,101.74,USD,cash_deposit,DE,DE,online,payment
TXN0005322,ACC0000180,CUST0000180,2026-01-19 18:14:58,818.06,USD,wire,AU,FR,mobile,invoice pmt
TXN0010153,ACC0000343,CUST0000343,01/01/2026 19:28,$420.18,USD,wire,UK,SG,online,
TXN0007510,ACC0000256,CUST0000256,02/05/2026 11:50,234.24,USD ,wire,SG,DE,branch,invoice pmt
TXN0010239,ACC0000346,CUST0000346,22-01-2026 00:51:20,$211.05,USD,transfer,IE,IE,atm,payment
TXN0010872,ACC0000366,CUST0000366,19-01-2026 21:24:12,399.19,USD,cash_withdrawal,NL,NL,phone,transfer
TXN0002272,ACC0000076,CUST0000076,2026-01-17 11:27:28,426.88,USD,wire,CA,US,atm,
TXN0004498,ACC0000151,CUST0000151,01/28/2026 02:55,446.09,USD,card,US,US,atm,n/a
TXN0007128,ACC0000244,CUST0000244,01/03/2026 22:26,368.96,USD ,card,UK,UK,mobile,invoice pmt
TXN0001494,ACC0000049,CUST0000049,2026-01-23 06:09:20,124.04,USD,cash_deposit,NL,NL,mobile,misc
TXN0003491,ACC0000116,CUST0000116,2026-01-15 07:56:08,527.04,USD,cash_deposit,DE,DE,branch,transfer
TXN0011134,ACC0000374,CUST0000374,2026-02-04T06:43:35,490.39,USD,cash_deposit,UK,UK,branch,transfer
TXN0002044,ACC0000069,CUST0000069,2026-01-18 19:27:13,942.89,USD,cash_withdrawal,UK,UK,online,invoice pmt
TXN0001921,ACC0000065,CUST0000065,2026-02-11 12:21:40,593.19,USD,wire, US,SG,mobile,  payment  
TXN0010852,ACC0000366,CUST0000366,31-01-2026 02:35:39,179.96,USD,card,NL,NL,branch,n/a
TXN0001607,ACC0000051,CUST0000051,2026-02-02T22:50:18,2452.77,USD,card,IE,IE,mobile,payment
TXN0007293,ACC0000249,CUST0000249,01/31/2026 03:22,434.67,USD,card,FR,FR,online,misc
TXN0011012,ACC0000371,CUST0000371,29-01-2026 17:14:09,461.78,USD,cash_deposit,DE,DE,branch,transfer
TXN0004593,ACC0000153,CUST0000153,01/17/2026 01:02,999.57,USD,cash_deposit,DE,DE,phone,transfer
TXN0004205,ACC0000138,CUST0000138,2026-01-31T19:24:51,850.99,USD,ach,DE,DE,atm,
TXN0001701,ACC0000055,CUST0000055,01/15/2026 09:00,146.3,USD,cash_withdrawal,NL,NL,phone,invoice pmt
TXN0003371,ACC0000112,CUST0000112,2026-02-01T21:27:27,$554.94,USD,transfer,CA,CA,branch,n/a
TXN0002672,ACC0000093,CUST0000093,2026-01-13 03:34:53,289.41,USD,cash_withdrawal,NL,NL,atm,
TXN0009387,ACC0000319,CUST0000319,2026-01-14T01:31:15,113.15,USD,card,AU,AU,phone,
TXN0005970,ACC0000202,CUST0000202,12-02-2026 08:25:10,$760.46,USD,wire,SG,NL,online,transfer
TXN0006487,ACC0000219,CUST0000219,24-01-2026 11:25:41,966.4,USD,ach,UK,UK,phone,n/a
TXN0010727,ACC0000362,CUST0000362,01/04/2026 10:37,1030.65,USD,wire,UK,FR,atm,transfer
TXN0007358,ACC0000251,CUST0000251,01/07/2026 12:13,42.22,USD,wire,AU,IE,branch,misc
TXN0009815,ACC0000332,CUST0000332,2026-01-20 02:19:08,433.76,USD,cash_withdrawal,NL,NL,online,misc
TXN0000180,ACC0000006,CUST0000006,2026-02-03 17:59:02,569.37,Usd,ach,IE,IE,online,invoice pmt
