TRANSACTION_TYPE,AMOUNT,IS_FRAUD,FRAUD_RATE_PCT,TOTAL_TRANSACTIONS,FRAUD_CASES,ORIGINAL_DETECTION_RATE,OUR_DETECTION_RATE,ORIGINAL_CAUGHT,OUR_CAUGHT
TRANSFER,305627.0,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,187900.18,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,654842.77,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,130107.15,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,205163.3,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,129322.12,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,31945.44,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,936976.86,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,186081.71,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1118949.96,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,36420.6,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1025082.07,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,374178.28,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,77736.94,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,23613.06,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,223829.91,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,99498.03,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,85066.35,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,197943.1,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,1552664.33,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,239369.0,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,81872.76,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,297941.53,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,94913.97,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,169981.31,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,35541.56,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,439138.67,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,132973.41,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,160389.72,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,101392.92,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,55062.46,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,126324.39,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,342555.27,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,278793.36,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,120186.45,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,50545.67,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,2179037.98,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,153921.87,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,827521.86,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,82869.09,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1793237.56,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,169606.21,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,147577.32,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1131555.8,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,10000000.0,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,342970.95,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,224661.54,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,39688.63,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,291151.41,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,7454553.06,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,116271.54,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,175224.61,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,169162.61,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,157780.88,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,225275.09,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,165514.27,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,378623.9,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,30576.25,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,330505.05,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,239987.26,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,391480.84,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,70150.35,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,227955.75,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,283696.28,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,84067.11,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,277428.59,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,10000000.0,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,213692.42,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,348358.68,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,33964.87,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,661951.12,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,163473.98,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1205460.96,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,989966.55,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,154372.93,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,82747.76,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,456062.11,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,3968964.4,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,9593838.63,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,56231.05,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,64694.69,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,242059.71,0,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,2472250.47,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,291264.2,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,168510.02,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,587481.9,0,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,96989.06,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,101153.31,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,28187.53,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,122080.53,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,232279.22,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,179997.78,1,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,177216.73,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,105097.16,1,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,1293595.52,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,699.86,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,2558618.27,1,53.75,7623,4097,0.19,99.79,16,8146
TRANSFER,3879669.76,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,160842.92,0,21.83,18854,4116,0.19,99.79,16,8146
TRANSFER,497928.97,1,53.75,7623,4097,0.19,99.79,16,8146
CASH_OUT,83970.4,0,21.83,18854,4116,0.19,99.79,16,8146
CASH_OUT,369186.87,1,21.83,18854,4116,0.19,99.79,16,8146
